1,SUM of MPN,Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Sample Site,8/21/2023,8/14/2023,8/7/2023,7/31/2023,7/24/2023,7/12/2023,7/10/2023,7/3/2023,6/28/2023,6/26/2023,6/21/2023,6/19/2023,6/12/2023,6/5/2023,5/31/2023,5/29/2023,5/22/2023,5/15/2023,5/8/2023,5/1/2023,4/24/2023,4/17/2023,4/14/2023,4/12/2023,4/10/2023,4/3/2023,3/31/2023,3/27/2023,3/20/2023,3/16/2023,3/13/2023,3/6/2023,2/27/2023,2/20/2023,2/13/2023,2/6/2023,1/30/2023,1/25/2023,1/23/2023,1/18/2023,1/16/2023,1/11/2023,1/9/2023,1/4/2023,1/2/2023,12/28/2022,12/26/2022,12/21/2022,12/19/2022,12/14/2022,12/12/2022,12/7/2022,12/5/2022,11/30/2022,11/28/2022,11/25/2022,11/21/2022,11/16/2022,11/14/2022,11/11/2022,11/7/2022,11/2/2022,10/31/2022,10/26/2022,10/24/2022,10/19/2022,10/17/2022,10/13/2022,10/10/2022,10/5/2022,10/3/2022,9/30/2022,9/26/2022,9/21/2022,9/19/2022,9/14/2022,9/12/2022,9/9/2022,9/7/2022,8/31/2022,8/29/2022,8/24/2022,8/22/2022,8/17/2022,8/15/2022,8/11/2022,8/10/2022,8/8/2022,8/3/2022,8/1/2022,7/27/2022,7/25/2022,7/20/2022,7/18/2022,7/14/2022,7/13/2022,7/11/2022,7/8/2022,7/6/2022,6/29/2022,6/27/2022,6/22/2022,6/20/2022,6/16/2022,6/13/2022,6/10/2022,6/8/2022,6/1/2022,5/26/2022,5/23/2022,5/20/2022,5/16/2022,5/12/2022,5/9/2022,5/2/2022,4/27/2022,4/25/2022,4/20/2022,4/18/2022,4/11/2022,4/6/2022,4/4/2022,3/28/2022,3/23/2022,3/21/2022,3/16/2022,3/14/2022,3/9/2022,3/2/2022,2/28/2022,2/25/2022,2/23/2022,2/17/2022,2/14/2022,2/9/2022,2/7/2022,1/31/2022,1/26/2022,1/24/2022,1/19/2022,1/13/2022,1/10/2022,1/4/2022,1/3/2022,
3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4,Arch Creek 1,,,,,,983,,,3199,,1076,,,2938,24196,,1171,396,0,1081,"24,196",3223,6867,,583,425,443,12997,253,20,20000,"10,000",,,460,800,1374,395,749,169,74,275,134,241,266,364,86,1631,169,1565,146,135,315,84,264,,1541,74,120,556,148,75,228,199,96,158,272,414,193,,31,146,216,638,1145,24196,520,1726,"24,196",318,3968,345,146,1198,2098,364,,1823,670,4106,14136,272,1182,1153,414,,226,1222,173,169,573,203,108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Biscayne Canal at MCDS,,,,,,141,,,771,,813,,,209,24196,,63,41,0,120,191,454,,,121,31,,20,41,,120,41,,,73,270,,199,345,,63,,10,122,73,62,144,,20,,63,,41,,52,,1112,74,96,97,86,52,110,31,213,75,450,311,733,259,110,98,657,173,238,,41,31,74,,10,,10,41,135,,,20,10,233,,10,,62,,,31,41,112,20,189,,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,East Greynolds Park,,,,,,676,,,474,,388,,,776,646,,565,223,0,141,"2,098",195,359,,301,20,,5,31,31,33000,6400,,,31,680,,40,238,,10,882,110,63,199,253,171,,41,,61,52,373,,52,,759,,31,644,197,30,428,,41,,31,62,292,,30,63,158,275,259,,63,31,174,31,134,20,110,,10,5,,134,,30,241,122,74,528,,,10,97,473,20,862,,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Jose Marti Park,,,,,,1063,,,225,,364,,,4721,2140,,275,31,0,569,642,11199,211,,2723,41,,62,86,,720,31,,,5,260,,,31,,41,,30,,20,287,107,488,202,,63,,30,98,97,,422,,10,,52,41,131,,52,31,216,31,327,,52,,40,108,243,455,86,86,130,,63,5,84,120,86,,422,10011,,41,546,169,189,155,,114,168,,10,,31,20,134,52,122,389,185,226,31,109,,63,52,97,97,20,96,132,75,10,122,96,52,,31,132,132,20,,10,,10,98,168,109,295,41,,63,20,,52,,146,
8,Kennedy Park,20,52,52,10,,,10,134,790,,871,,,2809,6910,,130,275,0,72,191,3430,272,,3784,30,,20,30,,260,960,,,5,20,,,5,,5,,5,,21,,20,,5,,10,,10,,20,,146,,10,,51,,20,,5,,5,,41,,5,,41,,20,311,75,,41,86,86,,20,,63,31,,74,,41,,31,,31,,,30,,20,,5,,10,52,845,239,332,41,,41,,10,41,292,10,,10,,10,52,98,97,5,359,160,,52,20,,5,,10,,10,,41,10,,20,5,,41,,31,
9,Key Biscayne Beach Club,393,20,20,5,5,,10,5,,145,,5,10,10,,5,5,5,10,10,5,5,,31,2400,5,,10,10,,5,10,5,20,,10,5,,10,,5,,5,,20,,10,,10,,10,,5,,5,5,74,,20,,31,,5,,63,,20,,10,,5,,51,,5,,10,,20,,10,,5,,5,,,5,10,85,,10,,30,,,5,,5,,5,,5,10,74,,41,5,,5,,5,,5,5,,10,,5,5,,10,5,,10,,31,5,,5,,5,,5,,5,5,5,,5,,5,10,,
10,Key Biscayne Yacht Club,10,10,5,10,5,,5,10,,5,,5,5,5,,5,5,5,10,5,10,63,,41,5748,5,,5,5,,5,5,5,5,,10,5,,5,,5,,5,,20,,10,582,266,,5,,5,,5,5,242,,5,,5,,5,,10,,5,,10,,10,,10,,10,,5,,5,,5,,5,,5,,,5,,5,,5,,5,,,5,,5,,5,,5,,10,,30,5,,5,,5,,31,5,,5,,10,5,,10,20,,20,,5,20,,5,,5,,5,,5,5,5,,5,,5,5,,
11,Little River 1,,,,,,,,,446,,862,,,618,24196,,41,40,0,149,411,2510,,,936,75,,20,226,52,360,230,,,96,370,,,63,211,213,52,173,2224,86,199,134,,63,75,148,201,187,52,145,,845,121,109,275,169,108,6294,86,132,231,173,309,450,121,134,336,213,226,359,,30,221,670,373,175,,63,187,98,487,,121,336,1664,5269,135,110,12997,,,52,96,132,,31,203,1186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Little River 2,,,,,,,,,185,,1211,,,723,1174,,285,221,0,158,2755,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
